"AGNO";"RBD";"NOM_RBD";"NOM_COM_RBD";"COD_DEPE";"RURAL_RBD"
2021;8485;"LICEO INSTITUTO NACIONAL";"SANTIAGO";2;0
2021;8487;"LICEO JAVIERA CARRERA";"SANTIAGO";2;0
2021;8488;"LICEO N° 4 BICENTENARIO ISAURA DINATOR";"SANTIAGO";2;0
2021;8489;"LICEO BICENTENARIO TERESA PRATS";"SANTIAGO";2;0
2021;8490;"LICEO NRO 2 MIGUEL LUIS AMUNATEGUI";"SANTIAGO";2;0
2021;8491;"LICEO DE APLICACION RECTOR JORGE E SCHNE";"SANTIAGO";2;0
2021;8492;"LICEO MANUEL BARROS BORGONO";"SANTIAGO";2;0
2021;8495;"LICEO CONFEDERACION SUIZA";"SANTIAGO";2;0
2021;8496;"LICEO JOSÉ DE SAN MARTIN";"SANTIAGO";2;0
2021;8498;"LICEO DARIO SALAS";"SANTIAGO";2;0
2021;8499;"INTERNADO NACIONAL BARROS ARANA";"SANTIAGO";2;0
2021;8535;"LICEO REPUBLICA DE BRASIL";"SANTIAGO";2;0
2021;8592;"LICEO JOSE MIGUEL INFANTE";"SANTIAGO";3;0
2021;8598;"COLEGIO ALTO PALENA";"SANTIAGO";3;0
2021;8601;"COLEGIO WUNMAN";"SANTIAGO";3;0
2021;8603;"CENTRO EDUCATIVO SALESIANOS ALAMEDA";"SANTIAGO";3;0
2021;8604;"COLEGIO SANTA CRUZ";"SANTIAGO";3;0
2021;8609;"COLEGIO SAN IGNACIO";"SANTIAGO";4;0
2021;8611;"COLEGIO NUESTRA SENORA DE ANDACOLLO";"SANTIAGO";3;0
2021;8615;"ESCUELA COLEGIO POLIVALENTE STA FAMILIA";"SANTIAGO";3;0
2021;8620;"COLEGIO SAN SEBASTIAN";"SANTIAGO";3;0
2021;8627;"COLEGIO SANTA MARIA DE SANTIAGO";"SANTIAGO";3;0
2021;8639;"LICEO Y COLEGIO NUEVO HISPANO CHILENO";"SANTIAGO";3;0
2021;8649;"COLEGIO LORENZO SAZIE";"SANTIAGO";3;0
2021;8652;"COLEGIO SAN ANTONIO";"SANTIAGO";3;0
2021;8658;"COLEGIO FRANCISCO ARRIARAN";"SANTIAGO";3;0
2021;8663;"INSTITUTO HERMANOS MATTE";"SANTIAGO";3;0
2021;8666;"COLEGIO SANTA ISABEL";"SANTIAGO";3;0
2021;8671;"COLEGIO BICENTENARIO VICTORIA PRIETO";"SANTIAGO";3;0
2021;8675;"COLEGIO SANTA TERESITA DEL NINO JESUS";"SANTIAGO";3;0
2021;8676;"ESCUELA MANUEL JOSE IRARRAZAVAL";"SANTIAGO";3;0
2021;8680;"COLEGIO ADVENTISTA PORVENIR";"SANTIAGO";3;0
2021;8697;"COLEGIO ORATORIO DON BOSCO";"SANTIAGO";3;0
2021;8740;"COLEGIO MARIA LUISA VILLALON";"SANTIAGO";3;0
2021;8748;"COLEGIO INSTITUTO ALONSO DE ERCILLA";"SANTIAGO";4;0
2021;8754;"COLEGIO HISPANO AMERICANO";"SANTIAGO";4;0
2021;8755;"COLEGIO SAINT ROSE SCHOOL";"SANTIAGO";4;0
2021;8756;"COLEGIO EXCELSIOR";"SANTIAGO";3;0
2021;8757;"COLEGIO DE LOS SAGRADOS CORAZONES ALAMEDA";"SANTIAGO";4;0
2021;8759;"COLEGIO SANTA CECILIA";"SANTIAGO";4;0
2021;8762;"COLEGIO SANTA ELENA CARMELITAS MISIONERAS TERESIANA";"SANTIAGO";4;0
2021;8791;"COLEGIO FILIPENSE";"SANTIAGO";3;0
2021;11766;"COLEGIO INSTITUTO ARTÍSTICO DE ESTUDIOS SECUNDARIOS DE LA UNIVERSIDAD DE CHILE";"SANTIAGO";4;0
2021;11962;"COLEGIO  PEDRO DE VALDIVIA-AGUSTINAS";"SANTIAGO";4;0
2021;12260;"COLEGIO SAN FRANCISCO DE ASIS DE BELEN";"SANTIAGO";3;0
2021;24638;"LICEO MIGUEL DE CERVANTES Y SAAVEDRA";"SANTIAGO";2;0
2021;25185;"COLEGIO PARTICULAR OZANAM";"SANTIAGO";3;0
2021;25269;"COLEGIO NUEVO DIEGO DE ALMAGRO";"SANTIAGO";3;0
2021;25359;"COLEGIO METODISTA DE SANTIAGO";"SANTIAGO";3;0
2021;25509;"COLEGIO PARTICULAR MARÍA AUXILIADORA DE SANTIAGO";"SANTIAGO";3;0
2021;31295;"LICEO BICENTENARIO ITALIA";"SANTIAGO";3;0
