"AGNO";"MRUN";"NOM_COM_ALU";"COD_GRADO";"LET_CUR";"COD_JOR";"GEN_ALU";"FEC_NAC_ALU";"EDAD_ALU";"PROM_GRAL";"ASISTENCIA"
2022;1915951;"MAIPÚ";4;"A";1;1;200503;17;67;77
2022;2280148;"QUILICURA";4;"A";1;1;200502;17;67;81
2022;2419492;"SAN JOAQUÍN";4;"A";1;1;200410;17;69;86
2022;2920052;"ESTACIÓN CENTRAL";4;"A";1;1;200407;17;66;73
2022;3772104;"ÑUÑOA";4;"A";1;1;200411;17;67;81
2022;3797638;"PEDRO AGUIRRE CERDA";4;"A";1;1;200408;17;69;74
2022;3898745;"PEÑALOLÉN";4;"A";1;1;200502;17;62;79
2022;4295520;"SANTIAGO";4;"A";1;1;200409;17;68;81
2022;4304883;"PROVIDENCIA";4;"A";1;1;200405;18;68;65
2022;4412458;"PUENTE ALTO";4;"A";1;1;200504;17;69;78
2022;4522293;"PEÑALOLÉN";4;"A";1;1;200408;17;65;83
2022;4851277;"CONCHALÍ";4;"A";1;1;200502;17;69;87
2022;5169009;"SAN RAMÓN";4;"A";1;1;200406;18;69;75
2022;7227700;"LO PRADO";4;"A";1;1;200412;17;68;63
2022;8514154;"PEDRO AGUIRRE CERDA";4;"A";1;1;200502;17;69;88
2022;8941334;"LA PINTANA";4;"A";1;1;200408;17;68;81
2022;9162624;"QUILICURA";4;"A";1;1;200502;17;66;82
2022;9344395;"MAIPÚ";4;"A";1;1;200407;17;65;78
2022;11951476;"PEDRO AGUIRRE CERDA";4;"A";1;1;200408;17;68;78
2022;12171835;"SANTIAGO";4;"A";1;1;200308;18;6;82
2022;13662717;"MAIPÚ";4;"A";1;1;200405;18;66;84
2022;14406393;"MAIPÚ";4;"A";1;1;200501;17;64;86
2022;14477224;"LAMPA";4;"A";1;1;200501;17;67;73
2022;15439320;"LA FLORIDA";4;"A";1;1;200412;17;68;75
2022;16373786;"PUENTE ALTO";4;"A";1;1;200306;19;69;72
2022;16455523;"CERRILLOS";4;"A";1;1;200408;17;66;83
2022;16789617;"MAIPÚ";4;"A";1;1;200407;17;68;83
2022;16921085;"RENCA";4;"A";1;1;200407;17;69;68
